port,date,cruise_ship,cruise_line,arrive,depart
"Alesund, Norway",20-Mar-19,Marco Polo,Cruise & Maritime,13:00,18:00
"Alesund, Norway",05-Apr-19,AIDAaura,AIDA Cruises,08:00,18:00
"Alesund, Norway",16-Apr-19,AIDAaura,AIDA Cruises,08:00,18:00
"Alesund, Norway",20-Apr-19,Boudicca,Fred. Olsen,08:00,19:00
"Alesund, Norway",24-Apr-19,Azura,P&O Cruises,08:00,17:00
"Alesund, Norway",27-Apr-19,AIDAaura,AIDA Cruises,08:00,18:00
"Alesund, Norway",30-Apr-19,Celebrity Silhouette,Celebrity Cruises,08:00,19:00
"Alesund, Norway",01-May-19,AIDAsol,AIDA Cruises,14:00,19:00
"Alesund, Norway",08-May-19,AIDAaura,AIDA Cruises,08:00,18:00
"Alesund, Norway",08-May-19,AIDAsol,AIDA Cruises,14:00,19:00
"Alesund, Norway",09-May-19,Ventura,P&O Cruises,08:00,17:00
"Alesund, Norway",14-May-19,ms Rotterdam,Holland America,08:00,23:00
"Alesund, Norway",18-May-19,AIDAsol,AIDA Cruises,08:00,13:00
"Alesund, Norway",20-May-19,Artania,Phoenix Reisen,08:00,13:00
"Alesund, Norway",22-May-19,AIDAperla,AIDA Cruises,07:00,18:00
"Alesund, Norway",22-May-19,Britannia,P&O Cruises,08:00,17:00
"Alesund, Norway",25-May-19,Zenith,Pullmantur Cruises,,
"Alesund, Norway",27-May-19,MSC Orchestra,MSC Cruises,10:00,18:00
"Alesund, Norway",28-May-19,AIDAsol,AIDA Cruises,08:00,13:00
"Alesund, Norway",28-May-19,ms Prinsendam,Holland America,08:00,23:00
"Alesund, Norway",29-May-19,Celebrity Reflection,Celebrity Cruises,08:00,18:00
"Alesund, Norway",29-May-19,ms Rotterdam,Holland America,08:00,18:00
"Alesund, Norway",30-May-19,Ventura,P&O Cruises,08:00,17:00
"Alesund, Norway",30-May-19,Viking Sky,Viking Cruises,,
"Alesund, Norway",04-Jun-19,AIDAdiva,AIDA Cruises,14:00,19:00
